version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Role1,artifacts/system_prompt.md,v0+p5642bf9dd9a4+ta766592f3974,5642bf9dd9a496a988f9d0e104411dce41d6ae9774e34661cb129fd6772286f9,a766592f3974c0e66d9fb7cecc30a61bd5764d0bb034dca95fa445ee105fa0ca,Baseline prompt evaluation,Baseline system prompt run on core eval suite,case_accuracy,0.0,0.85,runs/v0_B_base_openai_20260729T175224325303.json
v1,Role1,artifacts/system_prompt.md,v1+p2178dae884ac+ta766592f3974,2178dae884acccb706638ff5f58ca7c4ce0733fc2e0baf741468b8f36c6ce6ff,a766592f3974c0e66d9fb7cecc30a61bd5764d0bb034dca95fa445ee105fa0ca,Thiếu quy tắc gọi tool song song cho câu hỏi đa nguồn và query chèn từ thừa,Thêm quy tắc Parallel Calling và Query Normalization giúp tách từ khóa chuẩn và phát ra đồng thời cả 2 tool cho câu đa nguồn,case_accuracy,0.85,0.90,runs/v1_B_base_openai_20260729T175312357988.json
v2,Role1,artifacts/system_prompt.md,v2+pa1016844adf0+ta766592f3974,a1016844adf05b97534e1041018218885fd53c98efd09a9e0e249705b880717c,a766592f3974c0e66d9fb7cecc30a61bd5764d0bb034dca95fa445ee105fa0ca,R12_confirm_before_send bị sai do agent hỏi xin nội dung (text) thay vì xin xác nhận (yes_no),Quy định bắt buộc ưu tiên số 1 gọi clarify yes_no trước khi gửi tin nhắn ra bên ngoài giúp agent vượt qua boundary test,case_accuracy,0.90,0.95,runs/v2_B_base_openai_20260729T175359941118.json
v3,Role1,artifacts/system_prompt.md,v3+p34dc6b16c2a4+ta766592f3974,34dc6b16c2a4668a9352120e911e1bee7c3719cd5d645de691cdae0a6974463f,a766592f3974c0e66d9fb7cecc30a61bd5764d0bb034dca95fa445ee105fa0ca,Tối ưu xử lý multi-turn context: thực thi send(confirmed=True) khi đã xác nhận và xóa bỏ tool cũ khi đổi nguồn/hủy,Bổ sung luật Multi-turn Confirmation Carryover & Tool Switch giúp agent đạt 100% accuracy trên base suite (20/20),case_accuracy,0.95,1.0,runs/v3_B_base_openai_20260729T175446503706.json
